frame.number	frame.time_relative	usb.endpoint_address	usb.endpoint_address.direction	usb.endpoint_address.number	usb.transfer_type	usb.urb_type	usb.data_len	usb.capdata
1179	7.406595000	0x80	1	0	0x02		8	
1180	7.407849000	0x80	1	0	0x02		18	
1181	7.407874000	0x80	1	0	0x02		8	
1182	7.410924000	0x80	1	0	0x02		9	
1183	7.410940000	0x80	1	0	0x02		8	
1184	7.414847000	0x80	1	0	0x02		80	
1185	7.416240000	0x00	0	0	0x02		8	
1190	7.421982000	0x00	0	0	0x02		0	
1191	7.422037000	0x00	0	0	0xff		0	
1192	7.422040000	0x00	0	0	0xff		0	
1193	7.422044000	0x00	0	0	0xff		0	
1194	7.423860000	0x80	1	0	0x02		16	0000000104000200000000000000
1195	7.423877000	0x00	0	0	0xff		0	
1196	7.426882000	0x80	1	0	0x02		64	0000000104000200000000000000000100000000000000000000000000000000000000000000010157494e55534200000000000000000000000000000000
1197	7.427812000	0x80	1	0	0x02		8	
1198	7.430855000	0x80	1	0	0x02		4	
1199	7.430884000	0x80	1	0	0x02		8	
1200	7.436851000	0x80	1	0	0x02		14	
1201	7.437950000	0x80	1	0	0x02		8	
1202	7.440876000	0x80	1	0	0x02		4	
1203	7.440902000	0x80	1	0	0x02		8	
1206	7.446845000	0x80	1	0	0x02		30	
1209	7.459860000	0x00	0	0	0x02		8	
1210	7.461136000	0x00	0	0	0x02		0	
1211	7.461207000	0x80	1	0	0x02		8	
1212	7.464850000	0x80	1	0	0x02		97	
1213	7.466202000	0x81	1	1	0x01		0	
1214	7.466223000	0x81	1	1	0x01		0	
1215	7.467495000	0x80	1	0	0x02		8	
1216	7.470847000	0x80	1	0	0x02		2	
1223	7.484806000	0x80	1	0	0x02		8	
1224	7.486851000	0x80	1	0	0x02		14	
1225	7.492982000	0x80	1	0	0x02		8	
1226	7.494852000	0x80	1	0	0x02		14	
1227	7.494889000	0x80	1	0	0x02		8	
1228	7.497846000	0x80	1	0	0x02		6	
1265	7.729132000	0x80	1	0	0x02		8	
1266	7.730848000	0x80	1	0	0x02		18	
1267	7.730908000	0x80	1	0	0x02		8	
1272	7.733847000	0x80	1	0	0x02		30	
1273	7.733875000	0x80	1	0	0x02		8	
1274	7.736864000	0x80	1	0	0x02		6	
1279	7.760398000	0x80	1	0	0x02		8	
1280	7.761853000	0x80	1	0	0x02		18	
1281	7.761891000	0x80	1	0	0x02		8	
1282	7.764860000	0x80	1	0	0x02		30	
1283	7.764894000	0x80	1	0	0x02		8	
1284	7.767847000	0x80	1	0	0x02		6	
1285	7.768253000	0x02	0	2	0x03		16	02910001000800000000000000300100
1286	7.768331000	0x02	0	2	0x03		0	
1287	7.768399000	0x82	1	2	0x03		0	
1288	7.768480000	0x82	1	2	0x03		64	0201000100f8000040000000003001000100484557373030303732313639303200007e056920010601232323a0a0a0e6e6e6323232ffffffffffffffffffffff
1289	7.768511000	0x82	1	2	0x03		0	
1290	7.768570000	0x82	1	2	0x03		16	ffffffffffffffffffffffffffffffff
1291	7.768603000	0x02	0	2	0x03		16	02910001000800000000000040300100
1292	7.768690000	0x02	0	2	0x03		0	
1293	7.768731000	0x82	1	2	0x03		0	
1294	7.768975000	0x82	1	2	0x03		64	0201000100f800004000000040300100eef8df41443f153cb28cf1ba9bef48baffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
1295	7.769017000	0x82	1	2	0x03		0	
1296	7.769062000	0x82	1	2	0x03		16	ffffffffffffffffffffffffffffffff
1297	7.769115000	0x02	0	2	0x03		16	02910001000800000000000080300100
1298	7.769231000	0x02	0	2	0x03		0	
1299	7.769257000	0x82	1	2	0x03		0	
1300	7.769387000	0x82	1	2	0x03		64	0201000100f80000400000008030010001add99a555665a0000aa0000ae2200ee2200e9aadd99aadd90aa5500aa5502ff6622ff6620affffcb97847e36648516
1301	7.769429000	0x82	1	2	0x03		0	
1302	7.769481000	0x82	1	2	0x03		16	63ffffffffffffffffffffffffffffff
1303	7.769528000	0x02	0	2	0x03		16	029100010008000000000000c0300100
1304	7.769604000	0x02	0	2	0x03		0	
1305	7.769644000	0x82	1	2	0x03		0	
1306	7.770048000	0x82	1	2	0x03		64	0201000100f8000040000000c030010001add99a555665a0000aa0000ae2200ee2200e9aadd99aadd90aa5500aa5502ff6622ff6620affff60b8842606632016
1307	7.770094000	0x82	1	2	0x03		0	
1308	7.770148000	0x82	1	2	0x03		16	69ffffffffffffffffffffffffffffff
1309	7.770185000	0x02	0	2	0x03		16	02910001000800000000000000310100
1310	7.770268000	0x02	0	2	0x03		0	
1311	7.770288000	0x82	1	2	0x03		0	
1312	7.770426000	0x82	1	2	0x03		64	0201000100f800004000000000310100000000000000000000000000255d55be6c6b40bdaff11e41ffffffffffffffffffffffffffffffffffffffffffffffff
1313	7.770469000	0x82	1	2	0x03		0	
1314	7.770510000	0x82	1	2	0x03		16	ffffffffffffffffffffffffffffffff
1315	7.770547000	0x02	0	2	0x03		16	02910001000800000000000040c01f00
1316	7.770630000	0x02	0	2	0x03		0	
1317	7.770651000	0x82	1	2	0x03		0	
1318	7.771070000	0x82	1	2	0x03		64	0201000100f800004000000040c01f00ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
1319	7.771107000	0x82	1	2	0x03		0	
1320	7.771149000	0x82	1	2	0x03		16	ffffffffffffffffffffffffffffffff
1321	7.771171000	0x02	0	2	0x03		16	02910001000800000000000080c01f00
1322	7.771208000	0x02	0	2	0x03		0	
1323	7.771229000	0x82	1	2	0x03		0	
1324	7.771476000	0x82	1	2	0x03		64	0201000100f800004000000080c01f00ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
1325	7.771521000	0x82	1	2	0x03		0	
1326	7.771570000	0x82	1	2	0x03		16	ffffffffffffffffffffffffffffffff
1327	7.771599000	0x02	0	2	0x03		8	0791000100000000
1328	7.771624000	0x02	0	2	0x03		0	
1329	7.771642000	0x82	1	2	0x03		0	
1330	7.771684000	0x82	1	2	0x03		9	0701000100f8000000
1331	7.771707000	0x02	0	2	0x03		12	0c9100020004000027000000
1332	7.771750000	0x02	0	2	0x03		0	
1333	7.771784000	0x82	1	2	0x03		0	
1348	7.872965000	0x82	1	2	0x03		0	
1349	7.873062000	0x02	0	2	0x03		8	1191000100000000
1350	7.873154000	0x02	0	2	0x03		0	
1351	7.873195000	0x82	1	2	0x03		0	
1362	7.953446000	0x82	1	2	0x03		12	0c01000200f8000000000000
1363	7.953530000	0x02	0	2	0x03		28	0a9100080014000001ffffffffffffffff3500460000000000000000
1364	7.953597000	0x02	0	2	0x03		0	
1365	7.953633000	0x82	1	2	0x03		0	
1366	7.954012000	0x82	1	2	0x03		8	0a01000800f80000
1367	7.954040000	0x02	0	2	0x03		12	0c9100040004000027000000
1368	7.954087000	0x02	0	2	0x03		0	
1369	7.954113000	0x82	1	2	0x03		0	
1370	7.954434000	0x82	1	2	0x03		12	0c01000400f8000000000000
1371	7.954479000	0x02	0	2	0x03		8	0191000c00000000
1372	7.954567000	0x02	0	2	0x03		0	
1373	7.954597000	0x82	1	2	0x03		0	
1374	7.954627000	0x82	1	2	0x03		12	0101000c00f8000061125010
1375	7.954648000	0x02	0	2	0x03		8	0191000100000000
1376	7.954686000	0x02	0	2	0x03		0	
1377	7.954701000	0x82	1	2	0x03		0	
1378	7.954853000	0x82	1	2	0x03		8	0104000100f80000
1379	7.954871000	0x02	0	2	0x03		12	089100020004000001000000
1380	7.954911000	0x02	0	2	0x03		0	
1381	7.954937000	0x82	1	2	0x03		0	
1382	7.955024000	0x82	1	2	0x03		8	0804000200f80000
1383	7.955041000	0x02	0	2	0x03		12	0391000a0004000005000000
1384	7.955089000	0x02	0	2	0x03		0	
1385	7.955104000	0x82	1	2	0x03		0	
1386	7.955215000	0x82	1	2	0x03		8	0301000a00f80000
1387	7.955254000	0x02	0	2	0x03		16	0391000d000800000100ffffffffffff
1388	7.955341000	0x02	0	2	0x03		0	
1389	7.955386000	0x82	1	2	0x03		0	
1390	7.956070000	0x82	1	2	0x03		12	0301000d00f8000001000000
1395	7.960849000	0x81	1	1	0x01		64	
1396	7.960876000	0x81	1	1	0x01		0	
1397	7.964850000	0x81	1	1	0x01		64	
1398	7.964871000	0x81	1	1	0x01		0	
1400	7.968851000	0x81	1	1	0x01		64	
1401	7.968871000	0x81	1	1	0x01		0	
1404	7.972864000	0x81	1	1	0x01		64	
1405	7.972883000	0x81	1	1	0x01		0	
1410	7.976876000	0x81	1	1	0x01		64	
1411	7.976890000	0x81	1	1	0x01		0	
1414	7.980851000	0x81	1	1	0x01		64	
1415	7.980862000	0x81	1	1	0x01		0	
1418	7.984850000	0x81	1	1	0x01		64	
1419	7.984869000	0x81	1	1	0x01		0	
