frame.number	frame.time_relative	usb.endpoint_address	usb.data_len	usb.capdata	usbhid.data
54533	60.479256000	0x01	64		02508789239138000000000000000000005087892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54540	60.485373000	0x01	0		
54547	60.495981000	0x01	64		02518789239138000000000000000000005187892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54552	60.501374000	0x01	0		
54561	60.511563000	0x01	64		02528789239138000000000000000000005287892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54566	60.517371000	0x01	0		
54575	60.527855000	0x01	64		02538789239138000000000000000000005387892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54578	60.533374000	0x01	0		
54587	60.543914000	0x01	64		02548789239138000000000000000000005487892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54590	60.549374000	0x01	0		
54597	60.559936000	0x01	64		02558789239138000000000000000000005587892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54602	60.565375000	0x01	0		
54609	60.575473000	0x01	64		02568789239138000000000000000000005687892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54616	60.581374000	0x01	0		
54623	60.591736000	0x01	64		02578789239138000000000000000000005787892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54626	60.597383000	0x01	0		
54637	60.607913000	0x01	64		02588789239138000000000000000000005887892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54640	60.613374000	0x01	0		
54649	60.623969000	0x01	64		02598789239138000000000000000000005987892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54652	60.629376000	0x01	0		
54659	60.639571000	0x01	64		025a8789239138000000000000000000005a87892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54664	60.645378000	0x01	0		
54671	60.655630000	0x01	64		025b8789239138000000000000000000005b87892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54674	60.661378000	0x01	0		
54685	60.671840000	0x01	64		025c8789239138000000000000000000005c87892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54688	60.677376000	0x01	0		
54699	60.687863000	0x01	64		025d8789239138000000000000000000005d87892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54702	60.693376000	0x01	0		
54711	60.703466000	0x01	64		025e8789239138000000000000000000005e87892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54714	60.709376000	0x01	0		
54721	60.719461000	0x01	64		025f8789239138000000000000000000005f87892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54726	60.725431000	0x01	0		
54733	60.735992000	0x01	64		02508789239138000000000000000000005087892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54736	60.741377000	0x01	0		
54747	60.751891000	0x01	64		02518789239138000000000000000000005187892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54750	60.757376000	0x01	0		
54761	60.767921000	0x01	64		02528789239138000000000000000000005287892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54764	60.773376000	0x01	0		
54773	60.783939000	0x01	64		02538789239138000000000000000000005387892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54776	60.789376000	0x01	0		
54785	60.799527000	0x01	64		02548789239138000000000000000000005487892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54788	60.805377000	0x01	0		
54795	60.815531000	0x01	64		02558789239138000000000000000000005587892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54802	60.821376000	0x01	0		
54809	60.831571000	0x01	64		02568789239138000000000000000000005687892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54812	60.837377000	0x01	0		
54823	60.847582000	0x01	64		02578789239138000000000000000000005787892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54826	60.853380000	0x01	0		
54833	60.863612000	0x01	64		02588789239138000000000000000000005887892391380000000000000000000000000000000000000000000000000000000000000000000000000000000000
54836	60.869380000	0x01	0		
54843	60.879673000	0x01	64		02598701201100000000000000000000005987012011000000000000000000000000000000000000000000000000000000000000000000000000000000000000
54846	60.885378000	0x01	0		
